iter	Passed	Remaining
0	27	27446
1	52	26382
2	79	26577
3	111	27694
4	141	28105
5	169	28133
6	199	28287
7	232	28769
8	260	28653
9	291	28892
10	325	29230
11	358	29511
12	388	29514
13	418	29505
14	447	29393
15	474	29201
16	499	28902
17	524	28631
18	549	28375
19	574	28155
20	601	28024
21	627	27903
22	659	28031
23	686	27926
24	713	27825
25	738	27663
26	763	27523
27	788	27383
28	817	27379
29	845	27338
30	874	27344
31	902	27288
32	928	27210
33	955	27136
34	980	27024
35	1007	26980
36	1033	26910
37	1066	27011
38	1100	27115
39	1131	27146
40	1163	27208
41	1189	27131
42	1223	27220
43	1253	27242
44	1289	27363
45	1318	27337
46	1346	27293
47	1375	27283
48	1402	27213
49	1427	27116
50	1452	27034
51	1481	27009
52	1511	27010
53	1538	26947
54	1570	26991
55	1601	26992
56	1629	26963
57	1661	26978
58	1690	26960
59	1720	26958
60	1757	27050
61	1786	27024
62	1817	27034
63	1843	26965
64	1868	26882
65	1896	26831
66	1928	26860
67	1961	26884
68	1993	26895
69	2020	26842
70	2048	26798
71	2076	26763
72	2109	26787
73	2140	26788
74	2171	26783
75	2198	26733
76	2224	26668
77	2251	26609
78	2278	26559
79	2303	26485
80	2328	26424
81	2357	26390
82	2382	26324
83	2407	26258
84	2432	26188
85	2457	26121
86	2484	26078
87	2510	26013
88	2539	25995
89	2570	25989
90	2602	25992
91	2631	25969
92	2659	25942
93	2688	25915
94	2716	25873
95	2744	25847
96	2776	25849
97	2805	25826
98	2834	25798
99	2866	25797
100	2892	25748
101	2920	25708
102	2951	25701
103	2979	25669
104	3011	25672
105	3041	25653
106	3068	25606
107	3094	25556
108	3123	25535
109	3154	25521
110	3186	25519
111	3213	25477
112	3242	25452
113	3271	25423
114	3302	25416
115	3331	25390
116	3361	25366
117	3392	25354
118	3420	25319
119	3451	25309
120	3479	25279
121	3507	25239
122	3532	25189
123	3559	25144
124	3591	25138
125	3616	25089
126	3641	25031
127	3666	24980
128	3693	24939
129	3719	24892
130	3746	24855
131	3771	24803
132	3798	24764
133	3828	24745
134	3859	24729
135	3890	24717
136	3920	24696
137	3948	24661
138	3979	24647
139	4010	24632
140	4044	24638
141	4071	24601
142	4100	24576
143	4131	24561
144	4161	24538
145	4186	24489
146	4211	24440
147	4242	24422
148	4271	24397
149	4298	24357
150	4325	24318
151	4352	24281
152	4377	24232
153	4403	24191
154	4433	24167
155	4461	24137
156	4486	24088
157	4513	24052
158	4538	24005
159	4564	23964
160	4590	23919
161	4615	23872
162	4641	23831
163	4670	23809
164	4696	23767
165	4725	23741
166	4758	23736
167	4786	23706
168	4816	23682
169	4848	23670
170	4881	23663
171	4912	23648
172	4941	23623
173	4969	23591
174	4999	23570
175	5028	23540
176	5055	23508
177	5084	23482
178	5111	23442
179	5136	23400
180	5162	23358
181	5188	23321
182	5216	23289
183	5245	23262
184	5271	23224
185	5300	23196
186	5325	23153
187	5351	23113
188	5378	23078
189	5404	23041
190	5430	23003
191	5460	22977
192	5488	22948
193	5515	22916
194	5542	22881
195	5567	22836
196	5592	22793
197	5618	22757
198	5645	22722
199	5670	22680
200	5699	22655
201	5728	22629
202	5756	22599
203	5782	22564
204	5809	22529
205	5834	22488
206	5859	22447
207	5884	22407
208	5913	22379
209	5940	22348
210	5965	22308
211	5991	22268
212	6019	22239
213	6046	22208
214	6073	22175
215	6098	22135
216	6126	22106
217	6154	22077
218	6181	22043
219	6207	22009
220	6232	21969
221	6258	21934
222	6283	21894
223	6310	21860
224	6322	21777
225	6350	21747
226	6375	21711
227	6401	21674
228	6426	21636
229	6451	21597
230	6475	21558
231	6502	21524
232	6527	21487
233	6553	21452
234	6582	21428
235	6608	21394
236	6633	21357
237	6646	21279
238	6673	21250
239	6699	21213
240	6725	21181
241	6750	21144
242	6782	21129
243	6808	21096
244	6836	21068
245	6861	21030
246	6886	20993
247	6911	20958
248	6938	20927
249	6963	20890
250	6991	20863
251	7020	20838
252	7048	20811
253	7075	20779
254	7101	20748
255	7131	20726
256	7148	20666
257	7178	20645
258	7209	20626
259	7245	20621
260	7276	20603
261	7309	20589
262	7339	20568
263	7370	20549
264	7402	20531
265	7438	20526
266	7456	20469
267	7484	20443
268	7515	20422
269	7541	20391
270	7569	20361
271	7583	20297
272	7614	20278
273	7642	20248
274	7652	20175
275	7683	20154
276	7708	20121
277	7734	20087
278	7761	20056
279	7787	20025
280	7812	19990
281	7839	19960
282	7869	19938
283	7900	19917
284	7927	19888
